contributor,family,species,age.yr,a.stba.cm,a.stbh.cm,a.stbc.cm,h.t.m,h.c.m,m.lf.g,m.st.g,m.rf.g,m.rc.g,m.rt.g,lf.ma.g.m2,d.st.g.cm3,n.lf.per,n.ss.per,n.rf.per,n.rc.per,pft,growingCondition,status,light,group,location,latitude,longitude,vegetation,lai.m2.m2,map,mat,reference
Kenzo 2009,Apocynaceae,Alstonia sp.,mostly less than 20,3.9,3,,3.48,,211.2,1343.81,,,,90.04,0.38,,,,,EA,FW,1,Open condition (road side),Secondary forest after swidden cultivation,Niah Forest Researve,3.65,113.7,TropRF,approx. 3.5-4.5,2800,27,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Dilleniaceae,Dillenia suffruticosa,mostly less than 20,3.79,3.04,,4.8,,234.58,1235.18,66.17,298.17,364.34,81.74,0.45,2.395,0.259,0.409,0.401,EA,FW,1,Open condition (road side),Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Dilleniaceae,Dillenia suffruticosa,mostly less than 20,0.94,0.64,,0.54,,6.27,10.34,1.19,5.57,6.76,81.74,0.45,2.395,0.259,0.409,0.401,EA,FW,0,Open condition (road side),Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Dilleniaceae,Dillenia suffruticosa,mostly less than 20,0.3,0.11,,0.31,,1.6,0.73,0.33,0,0.33,81.74,0.45,2.395,0.259,0.409,0.401,EA,FW,0,Open condition (road side),Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Endospermum diadenum,mostly less than 20,27.64,19.9,,18.56,,,,,,28124.8,49.9,0.34,3.116,0.156,0.506,0.451,EA,FW,3,,Secondary forest after swidden cultivation,Niah Forest Researve,3.65,113.7,TropRF,approx. 3.5-4.5,2800,27,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Endospermum diadenum,mostly less than 20,5.7,4.65,,7.3,,267.16,2782.82,91.91,616.74,708.65,49.9,0.34,3.116,0.156,0.506,0.451,EA,FW,2,,Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Endospermum diadenum,mostly less than 20,2.55,2,,2.18,,48.87,146.46,80.88,83.26,164.14,49.9,0.34,3.116,0.156,0.506,0.451,EA,FW,1,Open condition (road side),Secondary forest after swidden cultivation,Niah Forest Researve,3.65,113.7,TropRF,approx. 3.5-4.5,2800,27,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Endospermum diadenum,mostly less than 20,2.06,1.33,,2.85,,28.46,114.48,15.48,17.16,32.64,49.9,0.34,3.116,0.156,0.506,0.451,EA,FW,1,Open condition (road side),Secondary forest after swidden cultivation,Niah Forest Researve,3.65,113.7,TropRF,approx. 3.5-4.5,2800,27,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Endospermum diadenum,mostly less than 20,1.72,1.3,,,,19.55,102.52,6.92,17.21,24.13,49.9,0.34,3.116,0.156,0.506,0.451,EA,FW,1,Open condition (road side),Secondary forest after swidden cultivation,Niah Forest Researve,3.65,113.7,TropRF,approx. 3.5-4.5,2800,27,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Endospermum diadenum,mostly less than 20,1.52,0.68,,1.49,,16.16,38.62,4.53,12.33,16.86,49.9,0.34,3.116,0.156,0.506,0.451,EA,FW,1,Open condition (road side),Secondary forest after swidden cultivation,Niah Forest Researve,3.65,113.7,TropRF,approx. 3.5-4.5,2800,27,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
