Country,Forest.type,Species,Family,a.lf,h.t,m.lf,m.st,m.rt,lf.sz,a.cs,h.c,a.cp,d.ba
NZ,WTRF,Beilschmiedia tarairi,Lauraceae,0.058106,0.457,0.00705,0.00593,NA,0.003795374,0.215246272,0.324575125,0.05801123,0.0089
NZ,WTRF,Beilschmiedia tarairi,Lauraceae,0.086348,0.463,0.00591,0.00233,NA,0.003636493,0.291838865,0.291606081,0.097418582,0.0054
NZ,WTRF,Beilschmiedia tarairi,Lauraceae,0.073904,0.413,0.00589,0.00432,NA,0.002707133,0.213210308,0.243457994,0.089286245,0.0071
NZ,WTRF,Beilschmiedia tarairi,Lauraceae,0.110042,0.443,0.00842,0.00412,NA,0.002156624,0.371622282,0.337512451,0.148234114,0.0074
NZ,WTRF,Beilschmiedia tarairi,Lauraceae,0.062651,0.39,0.00692,0.00658,NA,NA,NA,NA,NA,NA
NZ,WTRF,Beilschmiedia tarairi,Lauraceae,0.036771,0.244,0.00215,7.00E-04,0.00089,NA,NA,NA,NA,NA
NZ,WTRF,Beilschmiedia tarairi,Lauraceae,0.0292462,0.199,0.00192,0.00053,0.00092,NA,NA,NA,NA,NA
NZ,WTRF,Beilschmiedia tarairi,Lauraceae,0.0448596,0.226,0.00278,0.00083,0.0011,NA,NA,NA,NA,NA
NZ,WTRF,Beilschmiedia tarairi,Lauraceae,0.0264895,0.244,0.00164,0.00051,0.00072,NA,NA,NA,NA,NA
NZ,WTRF,Beilschmiedia tawa,Lauraceae,0.029533,0.725,0.0028,0.00213,NA,0.0006141,0.370973365,0.717003589,0.050151934,0.0048
NZ,WTRF,Beilschmiedia tawa,Lauraceae,0.035781,0.565,0.0032,0.00176,NA,0.000768582,0.403335754,0.514984636,0.093335996,0.00421
NZ,WTRF,Beilschmiedia tawa,Lauraceae,0.034192,0.503,0.00303,0.00271,NA,0.000515038,0.246048972,0.364150271,0.056888809,0.0058
NZ,WTRF,Beilschmiedia tawa,Lauraceae,0.0107449,0.225,0.00066,0.00031,0.00037,NA,NA,NA,NA,NA
NZ,WTRF,Beilschmiedia tawa,Lauraceae,0.009489,0.222,0.00055,0.00035,0.00038,NA,NA,NA,NA,NA
NZ,WTRF,Beilschmiedia tawa,Lauraceae,0.046624,0.472,0.00436,0.00304,NA,NA,NA,NA,NA,NA
NZ,WTRF,Beilschmiedia tawa,Lauraceae,0.037116,0.86,0.00348,0.00353,NA,NA,NA,NA,NA,NA
NZ,WTRF,Beilschmiedia tawa,Lauraceae,0.017498,0.274,0.00154,0.0013,NA,NA,NA,NA,NA,NA
NZ,WTRF,Dysoxylum spectabile,Meliaceae,0.085836,0.39,0.00552,0.00317,NA,0.001297279,0.307579472,0.352166347,0.082766433,0.0086
NZ,WTRF,Dysoxylum spectabile,Meliaceae,0.101559,0.314,0.00516,0.0023,NA,0.001893488,0.350877292,0.363905595,0.108260558,0.0086
NZ,WTRF,Dysoxylum spectabile,Meliaceae,0.096644,0.436,0.00573,0.00347,NA,0.001316963,0.360833697,0.46674731,0.089380773,0.0071
NZ,WTRF,Dysoxylum spectabile,Meliaceae,0.149737,0.388,0.00833,0.00417,NA,0.002418165,0.394584189,0.383472818,0.133052127,0.0078
NZ,WTRF,Dysoxylum spectabile,Meliaceae,0.0274747,0.228,0.00138,0.00107,0.00183,NA,NA,NA,NA,NA
NZ,WTRF,Dysoxylum spectabile,Meliaceae,0.093383,0.425,0.00631,0.00456,NA,NA,NA,NA,NA,NA
NZ,WTRF,Dysoxylum spectabile,Meliaceae,0.102626,0.386,0.00634,0.00526,NA,NA,NA,NA,NA,NA
NZ,WTRF,Dysoxylum spectabile,Meliaceae,0.046233,0.25,0.0031,0.00184,NA,NA,NA,NA,NA,NA
NZ,WTRF,Dysoxylum spectabile,Meliaceae,0.149178,0.383,0.01102,0.00746,NA,NA,NA,NA,NA,NA
NZ,WTRF,Elaeocarpus dentatus,Elaeocarpaceae,0.048027,0.68,0.00383,0.00331,NA,0.002001471,0.430967879,0.497285323,0.11779384,0.0054
NZ,WTRF,Elaeocarpus dentatus,Elaeocarpaceae,0.057884,0.518,0.00419,0.00227,NA,0.001807733,0.345906455,0.448751808,0.072400833,0.0058
NZ,WTRF,Elaeocarpus dentatus,Elaeocarpaceae,0.076801,0.75,0.00567,0.00436,NA,0.001581853,0.431175293,0.58257036,0.071191129,0.0068
NZ,WTRF,Elaeocarpus dentatus,Elaeocarpaceae,0.080186,0.616,0.00552,0.00386,NA,0.001135293,0.422440579,0.572164303,0.087576638,0.0069
NZ,WTRF,Elaeocarpus dentatus,Elaeocarpaceae,0.025314,0.528,0.00202,0.00156,NA,NA,NA,NA,NA,NA
NZ,WTRF,Elaeocarpus dentatus,Elaeocarpaceae,0.00803,0.268,0.00054,0.00042,0.00046,NA,NA,NA,NA,NA
NZ,WTRF,Elaeocarpus dentatus,Elaeocarpaceae,0.0115,0.287,0.00089,0.00063,0.00073,NA,NA,NA,NA,NA
NZ,WTRF,Elaeocarpus dentatus,Elaeocarpaceae,0.01135,0.309,0.00081,0.00054,0.00046,NA,NA,NA,NA,NA
NZ,WTRF,Elaeocarpus dentatus,Elaeocarpaceae,0.01802,0.308,0.00121,0.00078,0.00087,NA,NA,NA,NA,NA
NZ,WTRF,Elaeocarpus dentatus,Elaeocarpaceae,0.01754,0.185,0.00099,0.00037,4.00E-04,NA,NA,NA,NA,NA
NZ,WTRF,Elaeocarpus dentatus,Elaeocarpaceae,0.009049,0.345,0.00053,0.00072,NA,NA,NA,NA,NA,NA
NZ,CTRF,Griselinia littoralis,Cornaceae,0.073266,0.442,0.01055,0.00645,NA,NA,NA,NA,NA,NA
NZ,CTRF,Griselinia littoralis,Cornaceae,0.054157,0.695,0.00645,0.00603,NA,NA,NA,NA,NA,NA
NZ,CTRF,Griselinia littoralis,Cornaceae,0.083636,0.328,0.01208,0.00585,NA,NA,NA,NA,NA,NA
NZ,CTRF,Griselinia littoralis,Cornaceae,0.069239,0.477,0.00917,0.00553,NA,NA,NA,NA,NA,NA
NZ,CTRF,Griselinia littoralis,Cornaceae,0.049471,0.32,0.00642,0.0028,NA,NA,NA,NA,NA,NA
NZ,CTRF,Griselinia littoralis,Cornaceae,0.05241,0.557,0.00711,0.00613,NA,NA,NA,NA,NA,NA
NZ,WTRF,Knightia excelsa,Proteaceae,0.134474,0.745,0.0097,0.00555,NA,NA,NA,NA,NA,NA
NZ,WTRF,Knightia excelsa,Proteaceae,0.061489,0.377,0.00515,0.00173,NA,NA,NA,NA,NA,NA
NZ,WTRF,Knightia excelsa,Proteaceae,0.092699,0.588,0.00845,0.00743,NA,NA,NA,NA,NA,NA
NZ,WTRF,Laurelia novaezelandiae,Atherospermataceae,0.075697,0.53,0.0047,0.0043,NA,0.000878615,0.471639657,0.488641878,0.172635637,0.0083
NZ,WTRF,Laurelia novaezelandiae,Atherospermataceae,0.07653,0.62,0.00471,0.0047,NA,0.000560574,0.544577875,0.691208503,0.146112777,0.0084
NZ,WTRF,Laurelia novaezelandiae,Atherospermataceae,0.09048,0.527,0.0045,0.00419,NA,0.000493654,0.477190717,0.572225741,0.130738802,0.0084
NZ,WTRF,Laurelia novaezelandiae,Atherospermataceae,0.02776,0.275,0.0015,0.00153,0.00187,NA,NA,NA,NA,NA
NZ,WTRF,Laurelia novaezelandiae,Atherospermataceae,0.03098,0.239,0.00179,0.00151,0.00233,NA,NA,NA,NA,NA
NZ,WTRF,Laurelia novaezelandiae,Atherospermataceae,0.02168,0.3,0.00138,0.00137,0.00197,NA,NA,NA,NA,NA
