dataset,location,latitude,longitude,vegetation,map,mat,age.class,stemid,species,family,pft,a.stba,a.stbh,h.t,d.ba,d.bh,a.lf,m.lf,ma.ilf,a.ilf,growingCondition
Holdaway2008,CraigieburnNZ,-43.15,171.35,TempF,1447,8,40,1,Nothofagus solandri,Nothofagaceae,EA,0.000314,NA,3.6,2,NA,0.35873,0.03862,0.10765757,0.0000515,FW
Holdaway2008,CraigieburnNZ,-43.15,171.35,TempF,1447,8,25,4,Nothofagus solandri,Nothofagaceae,EA,0.000104,NA,1.8,1.15,NA,0.072434,0.00751,0.103680592,0.0000459,FW
Holdaway2008,CraigieburnNZ,-43.15,171.35,TempF,1447,8,25,5,Nothofagus solandri,Nothofagaceae,EA,0.000189,NA,2.1,1.55,NA,0.230052,0.02257,0.098108254,0.0000349,FW
Holdaway2008,CraigieburnNZ,-43.15,171.35,TempF,1447,8,25,6,Nothofagus solandri,Nothofagaceae,EA,0.000061,NA,1,0.88,NA,0.033541,0.00259,0.077218926,0.000038,FW
Holdaway2008,CraigieburnNZ,-43.15,171.35,TempF,1447,8,25,7,Nothofagus solandri,Nothofagaceae,EA,0.000061,NA,1.3,0.88,NA,0.065298,0.00509,0.07795032,0.0000424,FW
Holdaway2008,CraigieburnNZ,-43.15,171.35,TempF,1447,8,25,8,Nothofagus solandri,Nothofagaceae,EA,0.000092,NA,1.45,1.08,NA,0.106169,0.00817,0.076952783,0.000039,FW
Holdaway2008,CraigieburnNZ,-43.15,171.35,TempF,1447,8,25,9,Nothofagus solandri,Nothofagaceae,EA,0.000072,NA,1.55,0.96,NA,0.077169,0.00633,0.082027757,0.0000329,FW
Holdaway2008,CraigieburnNZ,-43.15,171.35,TempF,1447,8,25,10,Nothofagus solandri,Nothofagaceae,EA,0.000353,NA,2.4,2.12,NA,0.34045,0.03488,0.102452636,0.0000461,FW
Holdaway2008,CraigieburnNZ,-43.15,171.35,TempF,1447,8,40,11,Nothofagus solandri,Nothofagaceae,EA,0.001075,NA,3.3,3.7,NA,0.803978,0.09507,0.118249504,0.0000496,FW
Holdaway2008,CraigieburnNZ,-43.15,171.35,TempF,1447,8,40,12,Nothofagus solandri,Nothofagaceae,EA,0.001134,NA,6,3.8,NA,0.594029,0.06877,0.115768759,0.0000588,FW
Holdaway2008,CraigieburnNZ,-43.15,171.35,TempF,1447,8,40,13,Nothofagus solandri,Nothofagaceae,EA,0.000181,NA,2,1.52,NA,0.128369,0.01045,0.081405947,0.0000392,FW
Holdaway2008,CraigieburnNZ,-43.15,171.35,TempF,1447,8,40,14,Nothofagus solandri,Nothofagaceae,EA,0.004418,0.003217,2,7.5,6.4,3.003191,0.44306,0.147529744,0.0000674,FW
Holdaway2008,CraigieburnNZ,-43.15,171.35,TempF,1447,8,25,15,Nothofagus solandri,Nothofagaceae,EA,0.000249,0.000165,2.95,1.78,1.45,0.26774,0.0301,0.112422499,0.0000569,FW
Holdaway2008,CraigieburnNZ,-43.15,171.35,TempF,1447,8,25,16,Nothofagus solandri,Nothofagaceae,EA,0.001134,0.000573,3.5,3.8,2.7,1.030636,0.12577,0.122031445,0.0000389,FW
Holdaway2008,CraigieburnNZ,-43.15,171.35,TempF,1447,8,25,17,Nothofagus solandri,Nothofagaceae,EA,0.000141,NA,2.4,1.34,NA,0.124841,0.01431,0.114625804,0.0000509,FW
Holdaway2008,CraigieburnNZ,-43.15,171.35,TempF,1447,8,25,18,Nothofagus solandri,Nothofagaceae,EA,0.000158,NA,2.6,1.42,NA,0.10502,0.01052,0.100171396,0.0000431,FW
Holdaway2008,CraigieburnNZ,-43.15,171.35,TempF,1447,8,25,19,Nothofagus solandri,Nothofagaceae,EA,0.000059,NA,1.48,0.87,NA,0.053144,0.00472,0.088815294,0.0000404,FW
Holdaway2008,CraigieburnNZ,-43.15,171.35,TempF,1447,8,25,20,Nothofagus solandri,Nothofagaceae,EA,0.000104,NA,1.75,1.15,NA,0.085314,0.00645,0.075603066,0.0000461,FW
