"lookupVariable","lookupValue","newVariable","newValue","source"
NA,NA,"pft","EA","from paper[D Barneche]"
NA,NA,"status","0","DBarneche[from_author_reply]"
NA,NA,"family","Dipterocarpaceae","DBarneche[from_author_reply]"
NA,NA,"growingCondition","FW","from paper[D Barneche]"
NA,NA,"longitude","113.83","from paper[D Barneche]"
NA,NA,"latitude","4.03","from paper[D Barneche]"
NA,NA,"vegetation","TropRF","from paper[D Barneche]"
NA,NA,"map","2700","from paper[D Barneche]"
NA,NA,"mat","26","from paper[D Barneche]"
NA,NA,"location","Lambir Hills National Park, Sarawak, Malaysia","from paper[D Barneche]"
