"var_in","method","unit_in","var_out","notes"
"location",NA,NA,"location",NA
"latitude",NA,"degrees",NA,NA
"longitude",NA,"degrees",NA,NA
"map",NA,"mm","map",NA
"mat",NA,"deg","mat",NA
"species",NA,NA,"species",NA
"growingcondition",NA,NA,NA,NA
"status",NA,NA,NA,NA
"light",NA,NA,NA,NA
"harvest_year",NA,NA,NA,NA
"age",NA,"yr","age",NA
"tree_id",NA,NA,NA,NA
"rep",NA,NA,NA,NA
"number",NA,NA,NA,NA
"genlev",NA,NA,NA,NA
"genotype",NA,NA,NA,NA
"dbh","p2, d3, f","cm","d.bh",NA
"grdiam","p2, d1, f","cm","d.ba",NA
"ht","c, p3","m","h.t",NA
"SLA","a1, a4","cm2/g","ma.ilf",NA
"branchdw","e2, m3","kg","m.br",NA
"leafdw","e2, m3","kg","m.lf",NA
"stembranchdw","m3","kg","m.st",NA
"agdw","m3","kg","m.so",NA
"taprootdw","m3","kg",NA,NA
"coarserootdw","m3","kg",NA,NA
"finerootdw","m3","kg","m.rf",NA
"bgdw","m3","kg","m.rt",NA
"totaldw","x7, m3","kg","m.to",NA
"totalLA","a4","m2","a.lf",NA
"grouping",NA,NA,"grouping",NA
"totroot",NA,"kg","m.rc",NA
