reference,var_in,method,unit_in,var_out,notes
Aiba2005,root.mass..g.,m1,g,m.rt,
Aiba2005,trunk.mass..g.,m1,g,m.st,
Aiba2005,branch.mass..g.,m1,g,m.br,
Aiba2005,leaf.mass..g.,m1,g,m.lf,
Aiba2005,total.leaf.area..cm.2.,,cm2,a.lf,
Aiba2005,individual.leaf.area..cm.2.,b,cm2,lf.sz,
Aiba2005,crown.depth..cm.,,cm,c.d,
Aiba2005,crown.area..cm.2.,a,cm2,a.cp,
Aiba2005,height..cm.,,cm,h.t,
Aiba2005,stem.diameter..mm.,d,mm,d.ba,
Baltzer2007,age..months.,,months,age,
Baltzer2007,total.height..cm.,,cm,h.t,
Baltzer2007,stem.diameter.at.base..mm.,,mm,d.ba,
Baltzer2007,leaf.area..cm2.,,cm2,a.lf,
Baltzer2007,total.leaf.mass..g.,m1,g,m.lf,
Baltzer2007,total.root.mass..g.,m1,g,m.rt,
Baltzer2007,stem.mass..g.,m1,g,m.st,
Baltzer2007,Single.leaf.area..cm2.,,cm2,lf.sz,
Baltzer2007,lma..g.cm.2.,,g.cm2,lf.ma,
Baraloto2006,Diam,,mm,d.ba,
Baraloto2006,Ht,,cm,h.t,
Baraloto2006,SF,,cm2,a.lf,
Baraloto2006,SLA,,m2.kg,lf.ma,
Baraloto2006,Lf,m2,g,m.lf,
Baraloto2006,Stem,m2,g,m.st,
Baraloto2006,Root,m2,g,m.rt,
Baraloto2006,Sht,m2,g,m.so,
Baraloto2006,Tot,m2,g,m.to,
Bond-Lamberty2002,Height,,cm,h.t,
Bond-Lamberty2002,D0,,cm,d.ba,
Bond-Lamberty2002,DBH,,cm,d.bh,
Bond-Lamberty2002,stemMass,m3,g,m.st,
Bond-Lamberty2002,TotFol,m3,g,m.lf,
Bond-Lamberty2002,Sapwood,q,cm2,a.ssbh,
Bond-Lamberty2002,Root,m4,g,m.rc,
Coll2008,individual.leaf.area.cm2,b,cm2,lf.sz,
Coll2008,specific.leaf.area.cm2.g,c,cm2.g,lf.ma,
Coll2008,diameter.cm,,cm,d.ba,10cm from the ground
Coll2008,height.cm,,cm,h.t,
Coll2008,branch.biomass.g,,g,m.br,
Coll2008,total.leaf.biomass.g,,g,m.lf,
Coll2008,total.aboveground.biomass.g,,g,m.so,
Coll2008,total.belowground.biomass.g,,g,m.rt,
Coll2008,total.plant.biomass.g,,g,m.to,
Coll2008,stem.biomass.g,,g,m.st,
Domec2012,Age,,yr,age,
Domec2012,Total.leaf.area,"r,c,t",m2,a.lf,
Domec2012,Individual.leaf.size_equals_projected.AREA,"b,1",m2,lf.sz,
Domec2012,Area.of.sapwood.cross.section,j,m2,a.ssbh,
Domec2012,Area.of.heartwood.cross.section,,m2,a.shbh,
Domec2012,Area.of.total.stem.cross.section,,m2,a.stbh,
Domec2012,Crown.projected.area,,m2,a.cp,
Domec2012,Crown.surface.area,,m2,a.cs,
Domec2012,Height.to.crown.base,,m,h.c,
Domec2012,Total.height.of.plant,,m,h.t,
Domec2012,Total.leaf.mass,,kg,m.lf,
Domec2012,Stem.mass,,kg,m.st,
Domec2012,Sapwood.mass,,kg,m.ss,
Domec2012,Heartwood.mass,,kg,m.sh,
Domec2012,Bark.mass,,kg,m.sb,
Domec2012,Branch.mass,,kg,m.br,
Domec2012,Fine.root.mass,,kg,m.rf,
Domec2012,Coarse.root.mass,,kg,m.rc,
Domec2012,Total.root.mass,,kg,m.rt,
Domec2012,Leaf.mass.per.area,,kg.m2,lf.ma,
Domec2012,Density of stem sapwood,,kg.m3,d.ss,
Domec2012,Density of stem heartwood,,kg.m3,d.sh,
Domec2012,Density.of.stem.tissue,,kg.m3,d.st,
Domec2012,Density.of.stem.sapwood,,kg.m3,d.ss,
Domec2012,Density.of.stem.bark,,kg.m3,d.sb,
Domec2012,Density.of.stem.heartwood,,kg.m3,d.sh,
Domec2012,Leaf.nitrogen,,kg.m2,n.lf,
Domec2012,Sapwood.nitrogen,,kg.kg,n.ss,
Domec2012,Bark.nitrogen,,kg.kg,n.sb,
Domec2012,Heartwood.nitrogen,,kg.kg,n.sh,
Domec2012,Fine.roots.nitrogen,,kg.kg,n.rf,
Domec2012,Coarse.root.nitrogen,,kg.kg,n.rc,
Domec2012,LAI,,m2.m2,lai,
Epron2012,age,,yr,age,
Epron2012,a.lf,c,m2,a.lf,
Epron2012,a.ss,,cm2,a.ssbh,"Measured at 4 years, estimated other ages"
Epron2012,a.sh,,m2,a.shbh,"Measured at 4 years, estimated other ages"
Epron2012,a.st,,cm2,a.stbh,from circumference over bark
Epron2012,a.babh,,cm2,a.babh,from circumference under bark
Epron2012,a.cp,w,cm,d.cr,
Epron2012,a.cs,,m2,a.cs,
Epron2012,h.t,,m,h.t,
Epron2012,h.c,,m,c.d,
Epron2012,m.lf,m0,kg,m.lf,
Epron2012,m.st,m0,kg,m.st,
Epron2012,m.sb,m0,kg,m.sb,
Epron2012,m.br,m0,kg,m.br,Living branch mass
Epron2012,m.rc,m0,kg,m.rc,Coarse root + stump mass
Epron2012,n.lf,a1,kg.m2,n.lf,
Epron2012,n.ss,,kg.kg,n.ss,Sapwood + Heartwood
Epron2012,n.sb,,kg.kg,n.sb,
Epron2012,n.rf,a4,kg.kg,n.rf,
Harja2012,Wd,,kg.m3,d.st,
Harja2012,Cw_Avg,a,m,d.cr,
Harja2012,Hcb,,m,h.c,
Harja2012,CP_Idx,cpidx,-,light,
Harja2012,Dbh,,cm,d.bh,
Harja2012,Height,,m,h.t,
Kenzo2009,age.yr,,yr,age,
Kenzo2009,a.stba.cm,d,cm,d.ba,
Kenzo2009,a.stbh.cm,d,cm,d.bh,
Kenzo2009,a.stbc.cm,d,cm,d.cr,
Kenzo2009,h.t.m,,m,h.t,
Kenzo2009,h.c.m,,m,h.c,
Kenzo2009,m.lf.g,,g,m.lf,
Kenzo2009,m.st.g,,g,m.st,
Kenzo2009,m.rf.g,,g,m.rf,
Kenzo2009,m.rc.g,,g,m.rc,
Kenzo2009,m.rt.g,,g,m.rt,
Kenzo2009,lf.ma.g.m2,,g.m2,lf.ma,
Kenzo2009,d.st.g.cm3,,g.cm3,d.st,
Kenzo2009,n.lf.per,,g.m2,n.lf,"originally percentage, but transformed into g.m2 in the R script"
Kenzo2009,n.ss.per,,per,n.ss,percentage
Kenzo2009,n.rf.per,,per,n.rf,percentage
Kenzo2009,n.rc.per,,per,n.rc,percentage
Kenzo2009,lai.m2.m2,,m2.m2,lai,
Kenzo2009b,a.stba.cm,,cm,d.ba,
Kenzo2009b,a.stbh.cm,,cm,d.bh,
Kenzo2009b,a.stbc.cm,,cm,d.cr,
