Species,site,tree no,tree height (cm),height at the lowest leaf (or branch) (cm),diameter at the ground level (cm),diameter at breast height (at 130 cm from the ground) (cm),crown projection area (cm2),number of leaves,stem dry mass (g),leaf dry mass (g),branch dry mass (g),total above ground mass (g),source
Scaphium macropodum,"Lambir Hills National Park, Sarawak, Malaysia",1,156.0 ,121.0 ,1.4 ,,6018.5 ,,75.9 ,33.0 ,0.0 ,108.9 ,Yamada et al. (2000)
Scaphium macropodum,"Lambir Hills National Park, Sarawak, Malaysia",2,102.0 ,95.0 ,1.0 ,,4523.9 ,,27.7 ,17.4 ,0.0 ,45.1 ,Yamada et al. (2000)
Scaphium macropodum,"Lambir Hills National Park, Sarawak, Malaysia",3,30.0 ,27.0 ,0.6 ,,1385.4 ,,3.4 ,2.5 ,0.0 ,5.9 ,Yamada et al. (2000)
Scaphium macropodum,"Lambir Hills National Park, Sarawak, Malaysia",4,21.0 ,19.0 ,0.4 ,,804.2 ,,1.1 ,1.6 ,0.0 ,2.7 ,Yamada et al. (2000)
Scaphium macropodum,"Lambir Hills National Park, Sarawak, Malaysia",5,20.0 ,16.0 ,0.5 ,,687.2 ,,1.5 ,1.9 ,0.0 ,3.4 ,Yamada et al. (2000)
Scaphium macropodum,"Lambir Hills National Park, Sarawak, Malaysia",6,59.0 ,52.0 ,0.8 ,,2243.1 ,,10.3 ,5.3 ,0.0 ,15.6 ,Yamada et al. (2000)
Scaphium macropodum,"Lambir Hills National Park, Sarawak, Malaysia",7,53.0 ,49.0 ,0.7 ,,1193.8 ,,5.6 ,3.1 ,0.0 ,8.7 ,Yamada et al. (2000)
Scaphium macropodum,"Lambir Hills National Park, Sarawak, Malaysia",8,130.0 ,123.0 ,1.0 ,,3956.1 ,,41.8 ,11.4 ,0.0 ,53.2 ,Yamada et al. (2000)
Scaphium macropodum,"Lambir Hills National Park, Sarawak, Malaysia",9,295.0 ,290.0 ,2.3 ,,13273.2 ,,426.7 ,40.7 ,0.0 ,467.4 ,Yamada et al. (2000)
Scaphium macropodum,"Lambir Hills National Park, Sarawak, Malaysia",10,53.0 ,46.0 ,0.7 ,,1470.3 ,,,,,,Yamada et al. (2000)
