"dataset","location","latitude","longitude","vegetation","map","mat","grouping","lai","species","family","pft","age","a.lf","a.ssba","a.ssbh","a.ssbc","a.shba","a.shbh","a.shbc","a.sbba","a.sbbh","a.sbbc","a.stba","a.stbh","a.stbc","a.cp","a.cs","h.t","h.c","d.ba","d.bh","d.cr","c.d","m.lf","m.ss","m.sh","m.sb","m.st","m.so","m.br","m.rf","m.rc","m.rt","m.to","a.ilf","ma.ilf","r.st","r.ss","r.sb","r.sh","n.lf","n.ss","n.sb","n.sh","n.rf","n.rc","growingCondition","status","light"
"Satoo1974b","Japan-Tokyo University Forest in Hokkaido-74-Y-I Top of the slope",43.2,142.43,"TempF",NA,NA,NA,NA,"Betula maximowicziana","Betulaceae","DA",NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.7,NA,NA,0.197,NA,NA,3.2,NA,NA,NA,195.5,220.4,21.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA
"Satoo1974b","Japan-Tokyo University Forest in Hokkaido-74-Y-I Top of the slope",43.2,142.43,"TempF",NA,NA,NA,NA,"Betula maximowicziana","Betulaceae","DA",NA,77.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.2,NA,NA,0.206,NA,NA,3.7,NA,NA,NA,214.4,278.7,60.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA
"Satoo1974b","Japan-Tokyo University Forest in Hokkaido-74-Y-I Top of the slope",43.2,142.43,"TempF",NA,NA,NA,NA,"Betula maximowicziana","Betulaceae","DA",NA,110.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,0.182,NA,NA,6.5,NA,NA,NA,175.2,218.6,36.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA
"Satoo1974b","Japan-Tokyo University Forest in Hokkaido-74-Y-I Top of the slope",43.2,142.43,"TempF",NA,NA,NA,NA,"Betula maximowicziana","Betulaceae","DA",NA,61.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.4,NA,NA,0.19,NA,NA,3.4,NA,NA,NA,177.4,203.7,22.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA
"Satoo1974b","Japan-Tokyo University Forest in Hokkaido-74-Y-I Top of the slope",43.2,142.43,"TempF",NA,NA,NA,NA,"Betula maximowicziana","Betulaceae","DA",NA,92.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.6,NA,NA,0.2,NA,NA,5.1,NA,NA,NA,237.9,276.6,33.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA
"Satoo1974b","Japan-Tokyo University Forest in Hokkaido-74-Y-II Middle of the slope",43.2,142.43,"TempF",NA,NA,NA,NA,"Betula maximowicziana","Betulaceae","DA",NA,87.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.1,NA,NA,0.193,NA,NA,4.9,NA,NA,NA,213.1,249.7,31.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA
"Satoo1974b","Japan-Tokyo University Forest in Hokkaido-74-Y-II Middle of the slope",43.2,142.43,"TempF",NA,NA,NA,NA,"Betula maximowicziana","Betulaceae","DA",NA,76.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.6,NA,NA,0.193,NA,NA,3.6,NA,NA,NA,238.2,268.3,26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA
"Satoo1974b","Japan-Tokyo University Forest in Hokkaido-74-Y-II Middle of the slope",43.2,142.43,"TempF",NA,NA,NA,NA,"Betula maximowicziana","Betulaceae","DA",NA,86.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.7,NA,NA,0.194,NA,NA,4,NA,NA,NA,209.3,248.5,35.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA
"Satoo1974b","Japan-Tokyo University Forest in Hokkaido-74-Y-II Middle of the slope",43.2,142.43,"TempF",NA,NA,NA,NA,"Betula maximowicziana","Betulaceae","DA",NA,95.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.6,NA,NA,0.194,NA,NA,5,NA,NA,NA,220.5,255.9,30.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA
"Satoo1974b","Japan-Tokyo University Forest in Hokkaido-74-Y-II Middle of the slope",43.2,142.43,"TempF",NA,NA,NA,NA,"Betula maximowicziana","Betulaceae","DA",NA,85.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.7,NA,NA,0.196,NA,NA,4.3,NA,NA,NA,188.2,219.1,26.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA
"Satoo1974b","Japan-Tokyo University Forest in Hokkaido-74-Y-III Bottom of the slope",43.2,142.43,"TempF",NA,NA,NA,NA,"Betula maximowicziana","Betulaceae","DA",NA,125.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.1,NA,NA,0.22,NA,NA,5.1,NA,NA,NA,257.4,314.2,51.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA
"Satoo1974b","Japan-Tokyo University Forest in Hokkaido-74-Y-III Bottom of the slope",43.2,142.43,"TempF",NA,NA,NA,NA,"Betula maximowicziana","Betulaceae","DA",NA,157.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.6,NA,NA,0.237,NA,NA,7.7,NA,NA,NA,313.4,373.1,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA
"Satoo1974b","Japan-Tokyo University Forest in Hokkaido-74-Y-III Bottom of the slope",43.2,142.43,"TempF",NA,NA,NA,NA,"Betula maximowicziana","Betulaceae","DA",NA,149.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.1,NA,NA,0.254,NA,NA,6.7,NA,NA,NA,299.7,404.3,97.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA
"Satoo1974b","Japan-Tokyo University Forest in Hokkaido-74-Y-III Bottom of the slope",43.2,142.43,"TempF",NA,NA,NA,NA,"Betula maximowicziana","Betulaceae","DA",NA,102.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.3,NA,NA,0.226,NA,NA,5.9,NA,NA,NA,254.9,298.9,38.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA
"Satoo1974b","Japan-Tokyo University Forest in Hokkaido-74-Y-III Bottom of the slope",43.2,142.43,"TempF",NA,NA,NA,NA,"Betula maximowicziana","Betulaceae","DA",NA,143.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.1,NA,NA,0.239,NA,NA,7.2,NA,NA,NA,313.7,376.6,55.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA
