dataset,grouping,location,latitude,longitude,vegetation,lai,map,mat,family,species,pft,age,a.lf,a.ssba,a.ssbh,a.ssbc,a.shba,a.shbh,a.shbc,a.sbba,a.sbbh,a.sbbc,a.stba,a.stbh,a.stbc,a.cp,a.cs,h.t,h.c,d.ba,d.bh,d.cr,c.d,m.lf,m.ss,m.sh,m.sb,m.st,m.so,m.br,m.rf,m.rc,m.rt,m.to,a.ilf,ma.ilf,r.st,r.ss,r.sb,r.sh,n.lf,n.ss,n.sb,n.sh,n.rf,n.rc,growingCondition,status,light
Utsugi0002,NA,Japan-Tomakomai-,42.75,141.52,NA,NA,NA,NA,Pinaceae,Larix kaempferi,DG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.57,NA,NA,0.172,NA,NA,0.8302225,NA,NA,NA,56.75320401,59.94570041,2.362273896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PM,NA,NA
Utsugi0002,NA,Japan-Tomakomai-,42.75,141.52,NA,NA,NA,NA,Pinaceae,Larix kaempferi,DG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.57,NA,NA,0.179,NA,NA,0.714864828,NA,NA,NA,53.73976956,69.11294995,14.65831556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PM,NA,NA
Utsugi0002,NA,Japan-Tomakomai-,42.75,141.52,NA,NA,NA,NA,Pinaceae,Larix kaempferi,DG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.57,NA,NA,0.164,NA,NA,1.23781672,NA,NA,NA,60.48966693,68.3455788,6.618095154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PM,NA,NA
Utsugi0002,NA,Japan-Tomakomai-,42.75,141.52,NA,NA,NA,NA,Pinaceae,Larix kaempferi,DG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.8,NA,NA,0.158,NA,NA,1.571442999,NA,NA,NA,51.94135948,61.37738951,7.864587027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PM,NA,NA
Utsugi0002,NA,Japan-Tomakomai-,42.75,141.52,NA,NA,NA,NA,Pinaceae,Larix kaempferi,DG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.4,NA,NA,0.196,NA,NA,1.952240251,NA,NA,NA,62.42119972,76.34238827,11.9689483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PM,NA,NA
Utsugi0002,NA,Japan-Tomakomai-,42.75,141.52,NA,NA,NA,NA,Pinaceae,Larix kaempferi,DG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.7,NA,NA,0.202,NA,NA,1.229742197,NA,NA,NA,88.58095219,110.8965666,21.08587221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PM,NA,NA
Utsugi0002,NA,Japan-Tomakomai-,42.75,141.52,NA,NA,NA,NA,Pinaceae,Larix kaempferi,DG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.35,NA,NA,0.203,NA,NA,2.501292521,NA,NA,NA,80.71102072,92.52032847,9.308015233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PM,NA,NA
Utsugi0002,NA,Japan-Tomakomai-,42.75,141.52,NA,NA,NA,NA,Pinaceae,Larix kaempferi,DG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.2,NA,NA,0.234,NA,NA,4.725489232,NA,NA,NA,118.4015056,145.6387088,22.51171392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PM,NA,NA
Utsugi0002,NA,Japan-Tomakomai-,42.75,141.52,NA,NA,NA,NA,Pinaceae,Larix kaempferi,DG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.7,NA,NA,0.23,NA,NA,4.155696215,NA,NA,NA,116.0207824,137.5901884,17.41370976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PM,NA,NA
Utsugi0002,NA,Japan-Tomakomai-,42.75,141.52,NA,NA,NA,NA,Pinaceae,Larix kaempferi,DG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.4,NA,NA,0.25,NA,NA,3.81993906,NA,NA,NA,119.5206162,155.1065644,31.76600911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PM,NA,NA
