Age,status,pft,RootsEstimated,family,species,latitude,longitude,growingCondition,vegetation,grouping,location,,DBH (cm),Height (m),N bole,N bark,N sapwood,N heartwood,N rotten wood,N branches sapwood,N branches bark,N branches heartwood,N branches rotten wood ,total N sapwood,Total N bark ,total N heartwood,total N rotten wood ,N leaf,N small branches,Total aerial N,N fine roots,N medium roots,N coarse roots,total N underground ,total N (g N/tree),bole mass,bark bole mass,Sapwood mass,Heartwood mass,rotten wood mass,branches sapwood mass,branches bark mass,branches heartwood mass,branches rotten wood,total sapwood,Total bark mass,total heartwood,total rotten wood,leaf mass,small branches mass,total areal mass,fine roots mass,medium roots mass,coarse roots mass,total underground mass,total mass/tree 
188,3,DA,,Fagaceae,Nothofagus antarctica,-51.56666667,-72.23333333,FW,Tempf,site2_site_classIV,"southern west of Santa Cruz province, Argentina",,31.8,7.8,463.884,64.236,279.954,116.586,3.108,109.641,24.381,,,389.595,88.617,,,154.6776,99.0405,851.6241,4.403,47.34,181.034,232.777,1084.4011,179.3353547,27.24439503,40.00345852,108.8066578,3.28084331,46.89206276,14.05708928,13.87620986,,86.89552128,41.30148432,122.6828677,,5.0248,16.4486,275.6341166,0.58239,15.512,83.491,99.58539,375.2195066
152,3,DA,,Fagaceae,Nothofagus antarctica,-51.56666667,-72.23333333,FW,Tempf,site2_site_classIV,"southern west of Santa Cruz province, Argentina",,28.6,7.3,417.4956,57.8124,251.9586,104.9274,2.7972,98.6769,21.9429,,,350.6355,79.7553,,,139.20984,89.13645,766.46169,3.9627,42.606,162.9306,209.4993,975.96099,251.0694966,38.14215305,56.00484193,152.329321,4.593180633,65.64888786,19.679925,19.4266938,,121.6537298,57.82207805,171.7560148,,7.035,23.03,385.8900033,0.815346,21.7168,116.8874,139.419546,525.3095493
220,3,DA,y,Fagaceae,Nothofagus antarctica,-51.56666667,-72.23333333,FW,Tempf,site2_site_classIV,"southern west of Santa Cruz province, Argentina",,35,8,510.2724,70.6596,307.9494,128.2446,3.4188,120.6051,26.8191,,,428.5545,97.4787,,,170.14536,108.94455,936.78651,4.8433,52.074,199.1374,256.0547,1192.84121,224.1691934,34.05549379,50.00432315,136.0083223,4.101054137,58.61507845,17.57136161,17.34526232,,108.6194016,51.6268554,153.3535846,,6.281,20.56075,344.5426458,0.7279875,19.39,104.36375,124.4817375,469.0243833
167,2,DA,,Fagaceae,Nothofagus antarctica,-51.56666667,-72.23333333,FW,Tempf,site2_site_classIV,"southern west of Santa Cruz province, Argentina",,27.5,7.1,322.245,83.2,52.8,177.609,8.636,42.676,12.096,,,95.476,95.296,,,50.1183,28.611,455.7463,3.37736,33.86651,129.92567,167.16954,622.91584,133.5675921,28.31701402,31.02337116,71.29588861,2.931318364,25.66248983,7.899354015,15.53070911,,56.68586099,36.21636803,86.82659772,,4.664,12.524,199.8481451,0.4326,11.2476,60.4198,72.1,271.9481451
148,2,DA,y,Fagaceae,Nothofagus antarctica,-51.56666667,-72.23333333,FW,Tempf,site2_site_classIV,"southern west of Santa Cruz province, Argentina",,25,6.5,293.24295,75.712,48.048,161.62419,7.85876,38.83516,11.00736,,,86.88316,86.71936,,,45.607653,26.03601,414.729133,3.0733976,30.8185241,118.2323597,152.1242814,566.8534144,180.3162494,38.22796892,41.88155107,96.24944962,3.957279792,34.64436127,10.66412792,20.9664573,,76.52591234,48.89209684,117.2159069,,6.2964,16.9074,269.7949959,0.58401,15.18426,81.56673,97.335,367.1299959
190,2,DA,y,Fagaceae,Nothofagus antarctica,-51.56666667,-72.23333333,FW,Tempf,site2_site_classIV,"southern west of Santa Cruz province, Argentina",,30,6.7,351.24705,90.688,57.552,193.59381,9.41324,46.51684,13.18464,,,104.06884,103.87264,,,54.628947,31.18599,496.763467,3.6813224,36.9144959,141.6189803,182.2147986,678.9782656,160.2811106,33.98041682,37.22804539,85.55506633,3.517582037,30.7949878,9.479224818,18.63685094,,68.02303319,43.45964164,104.1919173,,5.5968,15.0288,239.8177741,0.51912,13.49712,72.50376,86.52,326.3377741
154,1,DA,,Fagaceae,Nothofagus antarctica,-51.56666667,-72.23333333,FW,Tempf,site2_site_classIV,"southern west of Santa Cruz province, Argentina",,19,6.2,168.377,46.02,33.033,81.45,7.874,30.872,7.56,,,63.905,53.58,,,50.3344,26.3976,283.541,1.931104,19.364164,74.288788,95.584056,379.125056,67.69667971,11.21126928,22.48547464,30.32995257,3.669983209,22.91690464,5.800092132,7.664039528,,45.40237929,17.01136142,37.9939921,,3.92504,8.7616,116.764356,0.2484,6.4584,34.6932,41.4,158.164356
138,1,DA,y,Fagaceae,Nothofagus antarctica,-51.56666667,-72.23333333,FW,Tempf,site2_site_classIV,"southern west of Santa Cruz province, Argentina",,16.7,5.5,148.17176,40.4976,29.06904,71.676,6.92912,27.16736,6.6528,,,56.2364,47.1504,,,44.294272,23.229888,249.51608,1.69937152,17.04046432,65.37413344,84.11396928,333.6300493,88.00568362,14.57465007,29.23111704,39.42893834,4.770978171,29.79197604,7.540119771,9.963251387,,59.02309307,22.11476984,49.39218973,,5.102552,11.39008,151.7936628,0.32292,8.39592,45.10116,53.82,205.6136628
172,1,DA,y,Fagaceae,Nothofagus antarctica,-51.56666667,-72.23333333,FW,Tempf,site2_site_classIV,"southern west of Santa Cruz province, Argentina",,21.3,6,188.58224,51.5424,36.99696,91.224,8.81888,34.57664,8.4672,,,71.5736,60.0096,,,56.374528,29.565312,317.56592,2.16283648,21.68786368,83.20344256,107.0541427,424.6200627,77.85118166,12.89295968,25.85829584,34.87944545,4.22048069,26.35444034,6.670105951,8.813645458,,52.21273618,19.56306563,43.69309091,,4.513796,10.07584,134.2790094,0.28566,7.42716,39.89718,47.61,181.8890094
160,0,DA,,Fagaceae,Nothofagus antarctica,-51.56666667,-72.23333333,FW,Tempf,site2_site_classIV,"southern west of Santa Cruz province, Argentina",,11,3.7,51.67,10.248,14.774,24.108,2.54,12.031,4.158,,,26.805,14.406,,,21.8634,10.258,99.9804,0.629888,6.316208,24.231536,31.177632,131.158032,41.33449695,4.35782081,0.295231719,30.94785966,5.73358476,1.079464158,0.386463138,0,,1.374695877,4.744283948,30.94785966,,0.3649,1.0584,44.22372425,0.0846,2.1996,11.8158,14.1,58.32372425
