dataset,grouping,location,latitude,longitude,vegetation,lai,map,mat,family,species,pft,age,a.lf,a.ssba,a.ssbh,a.ssbc,a.shba,a.shbh,a.shbc,a.sbba,a.sbbh,a.sbbc,a.stba,a.stbh,a.stbc,a.cp,a.cs,h.t,h.c,d.ba,d.bh,d.cr,c.d,m.lf,m.ss,m.sh,m.sb,m.st,m.so,m.br,m.rf,m.rc,m.rt,m.to,a.ilf,ma.ilf,r.st,r.ss,r.sb,r.sh,n.lf,n.ss,n.sb,n.sh,n.rf,n.rc,growingCondition,status,light
Nishioka0000,NA,Japan-Mt. Minoh-P0,34.853,135.469,NA,NA,NA,NA,Pinaceae,Pinus densiflora,EG,NA,30.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011979089,NA,NA,11.2,5.5,22.76,16.9,NA,NA,6.76,NA,NA,NA,58.012,73.935,9.163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nishioka0000,NA,Japan-Mt. Minoh-P0,34.853,135.469,NA,NA,NA,NA,Pinaceae,Pinus densiflora,EG,NA,19.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006561185,NA,NA,8.9,5.85,17.73,13.53,NA,NA,4.429,NA,NA,NA,27.618,36.914,4.867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nishioka0000,NA,Japan-Mt. Minoh-P0,34.853,135.469,NA,NA,NA,NA,Pinaceae,Pinus densiflora,EG,NA,6.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002808615,NA,NA,9.1,5.5,18.46,13.02,NA,NA,1.333,NA,NA,NA,23.002,25.521,1.186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nishioka0000,NA,Japan-Mt. Minoh-P0,34.853,135.469,NA,NA,NA,NA,Pinaceae,Pinus densiflora,EG,NA,7.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002324276,NA,NA,9,6,13.66,10.95,NA,NA,1.587,NA,NA,NA,19.022,22.416,1.807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nishioka0000,NA,Japan-Mt. Minoh-P0,34.853,135.469,NA,NA,NA,NA,Pinaceae,Pinus densiflora,EG,NA,13.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005714628,NA,NA,9.7,5.2,17.28,13.37,NA,NA,2.981,NA,NA,NA,27.047,34.163,4.135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nishioka0000,NA,Japan-Mt. Minoh-P0,34.853,135.469,NA,NA,NA,NA,Pinaceae,Pinus densiflora,EG,NA,13.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007163028,NA,NA,8.7,3.7,16.84,12.06,NA,NA,2.973,NA,NA,NA,23.086,31.809,5.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nishioka0000,NA,Japan-Mt. Minoh-P0,34.853,135.469,NA,NA,NA,NA,Pinaceae,Pinus densiflora,EG,NA,13.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006880842,NA,NA,9.3,5.1,14.32,11.97,NA,NA,3.004,NA,NA,NA,22.796,29.5,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nishioka0000,NA,Japan-Mt. Minoh-P0,34.853,135.469,NA,NA,NA,NA,Pinaceae,Pinus densiflora,EG,NA,21.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007496853,NA,NA,10.3,4.5,17,14.26,NA,NA,4.694,NA,NA,NA,32.52,45.521,8.307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nishioka0000,NA,Japan-Mt. Minoh-P0,34.853,135.469,NA,NA,NA,NA,Pinaceae,Pinus densiflora,EG,NA,39.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014229184,NA,NA,9.8,5.46,25.53,21.26,NA,NA,8.736,NA,NA,NA,75.07,101.178,17.372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nishioka0000,NA,Japan-Mt. Minoh-P0,34.853,135.469,NA,NA,NA,NA,Pinaceae,Pinus densiflora,EG,NA,2.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001839842,NA,NA,8.8,5.6,9.55,8.66,NA,NA,0.508,NA,NA,NA,10.795,11.99,0.687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nishioka0000,NA,Japan-Mt. Minoh-P0,34.853,135.469,NA,NA,NA,NA,Pinaceae,Pinus densiflora,EG,NA,4.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005462884,NA,NA,9.2,4.6,14.39,11.36,NA,NA,1.042,NA,NA,NA,22.081,24.434,1.311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nishioka0000,NA,Japan-Mt. Minoh-P0,34.853,135.469,NA,NA,NA,NA,Pinaceae,Pinus densiflora,EG,NA,2.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003815535,NA,NA,7.3,4.4,18.14,12.22,NA,NA,0.582,NA,NA,NA,19.588,22.445,2.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nishioka0000,NA,Japan-Mt. Minoh-P0,34.853,135.469,NA,NA,NA,NA,Pinaceae,Pinus densiflora,EG,NA,23.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012095768,NA,NA,10.9,4.7,20.88,16.97,NA,NA,5.269,NA,NA,NA,49.859,61.806,6.678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
