"lookupVariable","lookupValue","newVariable","newValue","source"
NA,NA,"species","Populus tremuloides Michx.","from paper[D Barneche]"
NA,NA,"family","Salicaceae","DBarneche[from_author_reply]"
NA,NA,"growingCondition","FW","from paper[D Barneche]"
NA,NA,"vegetation","BorF","from paper[D Barneche]"
NA,NA,"latitude","53.5","DBarneche[from_author_reply]"
NA,NA,"longitude","-125","DBarneche[from_author_reply]"
NA,NA,"pft","DA","from paper[D Barneche]"
NA,NA,"location","Dawson Creek, Forest District of northeastern British Columbia, CA","from paper[D Barneche]"
NA,NA,"map","450","from paper[D Barneche]"
NA,NA,"status","3","DBarneche[from_author_reply]"
NA,NA,"h.bh","1.3","default"
