"dataset","location","latitude","longitude","vegetation","species","family","pft","age","h.t","d.bh","m.lf","m.st","m.so","m.br","growingCondition"
"Katagiri1984","Japan-Sanbe Forest of Shimane University-",35.2,132.7,"TempF","Ilex macropoda","Aquifoliaceae","DA",26,6.8,0.061,0.14,6.01,7.14,0.99,"FW"
"Katagiri1984","Japan-Sanbe Forest of Shimane University-",35.2,132.7,"TempF","Carpinus laxiflora","Betulaceae","DA",29,6.29,0.051,0.1,3.38,4.11,0.63,"FW"
"Katagiri1984","Japan-Sanbe Forest of Shimane University-",35.2,132.7,"TempF","Carpinus laxiflora","Betulaceae","DA",29,8.7,0.069,0.57,8.4,11.16,2.19,"FW"
"Katagiri1984","Japan-Sanbe Forest of Shimane University-",35.2,132.7,"TempF","Pieris japonica","Ericaceae","EA",36,2.95,0.058,0.49,1.66,2.99,0.84,"FW"
"Katagiri1984","Japan-Sanbe Forest of Shimane University-",35.2,132.7,"TempF","Pieris japonica","Ericaceae","EA",32,3.34,0.047,0.67,2.13,3.61,0.81,"FW"
"Katagiri1984","Japan-Sanbe Forest of Shimane University-",35.2,132.7,"TempF","Carpinus tschonoskii","Betulaceae","DA",35,12.1,0.101,0.75,23.55,32.06,7.76,"FW"
"Katagiri1984","Japan-Sanbe Forest of Shimane University-",35.2,132.7,"TempF","Carpinus tschonoskii","Betulaceae","DA",19,7.8,0.055,0.2,3.62,4.37,0.55,"FW"
"Katagiri1984","Japan-Sanbe Forest of Shimane University-",35.2,132.7,"TempF","Carpinus tschonoskii","Betulaceae","DA",31,10.15,0.082,0.64,15.44,18.1,2.02,"FW"
"Katagiri1984","Japan-Sanbe Forest of Shimane University-",35.2,132.7,"TempF","Acer rufinerve","Aceraceae","DA",40,20.68,0.246,5.9,207.31,278.34,65.13,"FW"
"Katagiri1984","Japan-Sanbe Forest of Shimane University-",35.2,132.7,"TempF","Styrax japonica","Styracaceae","DA",21,7.22,0.053,0.35,3.23,5,1.42,"FW"
"Katagiri1984","Japan-Sanbe Forest of Shimane University-",35.2,132.7,"TempF","Styrax japonica","Styracaceae","DA",30,10.12,0.106,0.62,22.86,30.91,7.43,"FW"
"Katagiri1984","Japan-Sanbe Forest of Shimane University-",35.2,132.7,"TempF","Styrax japonica","Styracaceae","DA",32,5.77,0.049,0.33,2.37,3.69,0.99,"FW"
