"lookupVariable","lookupValue","newVariable","newValue","source"
NA,NA,"species","Betula papyrifera Marsh","from paper[D Barneche]"
NA,NA,"family","Betulaceae","DBarneche[from_author_reply]"
NA,NA,"growingCondition","FW","from paper[D Barneche]"
NA,NA,"vegetation","BorF","from paper[D Barneche]"
NA,NA,"latitude","53","DBarneche[from_author_reply]"
NA,NA,"longitude","-121.5","DBarneche[from_author_reply]"
NA,NA,"pft","DA","from paper[D Barneche]"
NA,NA,"location","British Columbia, CA","from paper[D Barneche]"
NA,NA,"map","668","from paper[D Barneche]"
NA,NA,"status","3","DBarneche[from_author_reply]"
NA,NA,"h.bh","1.3","default"
