dataset,grouping,location,latitude,longitude,vegetation,lai,map,mat,family,species,pft,age,a.lf,a.ssba,a.ssbh,a.ssbc,a.shba,a.shbh,a.shbc,a.sbba,a.sbbh,a.sbbc,a.stba,a.stbh,a.stbc,a.cp,a.cs,h.t,h.c,d.ba,d.bh,d.cr,c.d,m.lf,m.ss,m.sh,m.sb,m.st,m.so,m.br,m.rf,m.rc,m.rt,m.to,a.ilf,ma.ilf,r.st,r.ss,r.sb,r.sh,n.lf,n.ss,n.sb,n.sh,n.rf,n.rc,growingCondition,status,light,method_lai,method_age,method_a.lf,method_a.ssba,method_a.ssbh,method_a.ssbc,method_a.shba,method_a.shbh,method_a.shbc,method_a.sbba,method_a.sbbh,method_a.sbbc,method_a.stba,method_a.stbh,method_a.stbc,method_a.cp,method_a.cs,method_h.t,method_h.c,method_d.ba,method_d.bh,method_d.cr,method_c.d,method_m.lf,method_m.ss,method_m.sh,method_m.sb,method_m.st,method_m.so,method_m.br,method_m.rf,method_m.rc,method_m.rt,method_m.to,method_a.ilf,method_ma.ilf,method_r.st,method_r.ss,method_r.sb,method_r.sh,method_n.lf,method_n.ss,method_n.sb,method_n.sh,method_n.rf,method_n.rc,method_light
Lusk0000a,NA,New Zealand,NA,NA,NA,NA,NA,NA,Myrtaceae,Kunzea ericoides,EA,NA,0.00214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004997898,0.013522035,0.205,0.085520953,0.001,NA,NA,NA,0.000178,NA,NA,NA,0.000283,NA,NA,NA,NA,0.00021,NA,1.73E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d,NA,NA,NA,m0,NA,NA,NA,m0,NA,NA,NA,NA,m0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk0000a,NA,New Zealand,NA,NA,NA,NA,NA,NA,Myrtaceae,Kunzea ericoides,EA,NA,0.00214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004997898,0.013522035,0.205,0.085520953,0.001,NA,NA,NA,0.000178,NA,NA,NA,0.000283,NA,NA,NA,NA,0.00021,NA,1.73E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d,NA,NA,NA,m0,NA,NA,NA,m0,NA,NA,NA,NA,m0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk0000a,NA,New Zealand,NA,NA,NA,NA,NA,NA,Nothofagaceae,Nothofagus solandri var cliffortioides,EA,NA,0.022289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.069799482,0.149747803,0.472,0.192741987,0.0059,NA,NA,NA,0.00192,NA,NA,NA,0.0028,NA,NA,NA,NA,NA,NA,9.30E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d,NA,NA,NA,m0,NA,NA,NA,m0,NA,NA,NA,NA,m0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk0000a,NA,New Zealand,NA,NA,NA,NA,NA,NA,Nothofagaceae,Nothofagus solandri var cliffortioides,EA,NA,0.024489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07166851,0.200846305,0.42,0.327751634,0.0043,NA,NA,NA,0.00222,NA,NA,NA,0.00265,NA,NA,NA,NA,NA,NA,7.14E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d,NA,NA,NA,m0,NA,NA,NA,m0,NA,NA,NA,NA,m0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk0000a,NA,New Zealand,NA,NA,NA,NA,NA,NA,Nothofagaceae,Nothofagus menziesii,EA,NA,0.017827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.149231521,0.313795153,0.585,0.331063325,0.00491,NA,NA,NA,0.00144,NA,NA,NA,0.00206,NA,NA,NA,NA,NA,NA,7.11E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d,NA,NA,NA,m0,NA,NA,NA,m0,NA,NA,NA,NA,m0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk0000a,NA,New Zealand,NA,NA,NA,NA,NA,NA,Nothofagaceae,Nothofagus solandri var cliffortioides,EA,NA,0.038503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.116014128,0.379295699,0.712,0.571021254,0.0059,NA,NA,NA,0.00322,NA,NA,NA,0.00564,NA,NA,NA,NA,NA,NA,7.36E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d,NA,NA,NA,m0,NA,NA,NA,m0,NA,NA,NA,NA,m0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk0000a,NA,New Zealand,NA,NA,NA,NA,NA,NA,Oleaceae,Nestegis cunninghamii,EA,NA,0.065404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301984451,0.87713285,0.798,0.687480244,0.0077,NA,NA,NA,0.01039,NA,NA,NA,0.00602,NA,NA,NA,NA,NA,NA,0.002052508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d,NA,NA,NA,m0,NA,NA,NA,m0,NA,NA,NA,NA,m0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk0000a,NA,New Zealand,NA,NA,NA,NA,NA,NA,Nothofagaceae,Nothofagus menziesii,EA,NA,0.035301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1192107,0.402627135,0.617,0.405800158,0.0057,NA,NA,NA,0.00335,NA,NA,NA,0.00438,NA,NA,NA,NA,NA,NA,0.000105422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d,NA,NA,NA,m0,NA,NA,NA,m0,NA,NA,NA,NA,m0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk0000a,NA,New Zealand,NA,NA,NA,NA,NA,NA,Oleaceae,Nestegis cunninghamii,EA,NA,0.062928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.210653373,1.162998327,1.04,1.032572434,0.0078,NA,NA,NA,0.00996,NA,NA,NA,0.00781,NA,NA,NA,NA,NA,NA,0.002284055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d,NA,NA,NA,m0,NA,NA,NA,m0,NA,NA,NA,NA,m0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk0000a,NA,New Zealand,NA,NA,NA,NA,NA,NA,Oleaceae,Nestegis cunninghamii,EA,NA,0.054123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.227163883,0.961466656,0.765,0.742648531,0.0073,NA,NA,NA,0.00676,NA,NA,NA,0.00434,NA,NA,NA,NA,NA,NA,0.001486939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d,NA,NA,NA,m0,NA,NA,NA,m0,NA,NA,NA,NA,m0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
