Reference publication,Species,Family,Age,Total leaf area,Individual leaf size_equals_projected AREA,Area of sapwood cross section,Area of heartwood cross section,Area of total stem cross section,Crown projected area,Crown surface area,Height to crown base,Height of crown,Total height of plant,Total leaf mass,Stem mass,Sapwood mass,Heartwood mass,Bark mass,Branch mass,Fine root mass,Coarse root mass,Total root mass,Leaf mass per area ,Density of stem tissue,Density of stem sapwood,Density of stem bark,Density of stem heartwood,Leaf nitrogen,Sapwood nitrogen,Bark nitrogen,Heartwood nitrogen,Fine roots nitrogen,Coarse root nitrogen,LAI,pft,growingCondition,Position inforest canopy,vegetation,light,location,latitude,longitude,map,mat,Comment
Domec and Gartner (2003) Plant Cell Environ. 26:471-483;  Domec et al. (2012) ANN FOR Science 69:17-27,pinus ponderosa,Pinaceae,260.75,548.52,1.55E-04,2.58E-01,2.41E-02,3.09E-01,,,18,14.6,32.6,75.39,,,,,,,,,0.139586303,,0.44,,0.37,,,,,,,2.1,EG,FW,3,TempF,full,"eastern side of the Oregon Cascade Range, USA on a private forestland (Crown Pacific Co.)",43.53,-122.72,621,7.9,"The stand is a mix of ponderosa pine and lodgepole pine (Pinus contorta) ranging from 150 to 400 years old, and with approximately 200 trees per hectare  on soils derived from deep volcanic ash.."
Domec and Gartner (2003) Plant Cell Environ. 26:471-483;  Domec et al. (2012) ANN FOR Science 69:17-28,pinus ponderosa,Pinaceae,123,627.68,1.56E-04,1.91E-01,6.29E-03,2.33E-01,,,23.5,10.1,33.6,85.41,,,,,,,,,0.137429524,,0.4,,0.35,,,,,,,2.1,EG,FW,3,TempF,full,"eastern side of the Oregon Cascade Range, USA on a private forestland (Crown Pacific Co.)",43.53,-122.72,621,7.9,"The stand is a mix of ponderosa pine and lodgepole pine (Pinus contorta) ranging from 150 to 400 years old, and with approximately 200 trees per hectare  on soils derived from deep volcanic ash.."
Domec and Gartner (2003) Plant Cell Environ. 26:471-483;  Domec et al. (2012) ANN FOR Science 69:17-29,pinus ponderosa,Pinaceae,314,593.09,1.60E-04,2.64E-01,1.54E-02,3.44E-01,,,20.4,13.7,34.1,94.95,,,,,,,,,0.159400061,,0.46,,0.38,,,,,,,2.1,EG,FW,3,TempF,full,"eastern side of the Oregon Cascade Range, USA on a private forestland (Crown Pacific Co.)",43.53,-122.72,621,7.9,"The stand is a mix of ponderosa pine and lodgepole pine (Pinus contorta) ranging from 150 to 400 years old, and with approximately 200 trees per hectare  on soils derived from deep volcanic ash.."
Domec and Gartner (2003) Plant Cell Environ. 26:471-483;  Domec et al. (2012) ANN FOR Science 69:17-30,pinus ponderosa,Pinaceae,180.25,415.71,1.45E-04,2.61E-01,3.69E-02,3.61E-01,,,23.2,8.5,31.7,62.74,,,,,,,,,0.154385513,,0.42,,0.33,,,,,,,2.1,EG,FW,3,TempF,full,"eastern side of the Oregon Cascade Range, USA on a private forestland (Crown Pacific Co.)",43.53,-122.72,621,7.9,"The stand is a mix of ponderosa pine and lodgepole pine (Pinus contorta) ranging from 150 to 400 years old, and with approximately 200 trees per hectare  on soils derived from deep volcanic ash.."
Domec and Gartner (2003) Plant Cell Environ. 26:471-483;  Domec et al. (2012) ANN FOR Science 69:17-31,pinus ponderosa,Pinaceae,273.75,575.45,1.56E-04,2.10E-01,2.84E-02,2.91E-01,,,19.92,13.58,33.5,83.92,,,,,,,,,0.143859346,,0.45,,0.32,,,,,,,2.1,EG,FW,3,TempF,full,"eastern side of the Oregon Cascade Range, USA on a private forestland (Crown Pacific Co.)",43.53,-122.72,621,7.9,"The stand is a mix of ponderosa pine and lodgepole pine (Pinus contorta) ranging from 150 to 400 years old, and with approximately 200 trees per hectare  on soils derived from deep volcanic ash.."
Domec and Gartner (2003) Plant Cell Environ. 26:471-483;  Domec et al. (2012) ANN FOR Science 69:17-32,pinus ponderosa,Pinaceae,178.75,566.09,1.59E-04,2.51E-01,1.52E-02,2.86E-01,,,21.3,12.9,34.2,83.06,,,,,,,,,0.154543718,,0.46,,0.32,,,,,,,2.1,EG,FW,3,TempF,full,"eastern side of the Oregon Cascade Range, USA on a private forestland (Crown Pacific Co.)",43.53,-122.72,621,7.9,"The stand is a mix of ponderosa pine and lodgepole pine (Pinus contorta) ranging from 150 to 400 years old, and with approximately 200 trees per hectare  on soils derived from deep volcanic ash.."
Domec et al. (2012) ANN FOR Sc 69:17-27; Domec J-C et al.  (2005) Plant Cell Environ 28:1103_1113,pinus ponderosa,Pinaceae,261,537.15,1.66E-04,2.08E-01,6.29E-02,3.38E-01,,,19.9,12.7,32.5,75.18,,,,,,,,,0.140773266,,0.43,,0.36,,,,,,,2.25,EG,FW,3,TempF,full,"eastern side of the Oregon Cascade Range, USA on a private forestland (Crown Pacific Co.)",43.58,-121.68,645,7.7,"The stand is a mix of ponderosa pine trees ranging from 50 to 400 years old, and with approximately 250 trees per hectare  on soils derived from deep volcanic ash.."
Domec et al. (2012) ANN FOR Sc 69:17-27; Domec J-C et al.  (2005) Plant Cell Environ 28:1103_1114,pinus ponderosa,Pinaceae,244,971.55,1.67E-04,3.03E-01,2.41E-02,3.81E-01,,,23.4,10.2,35.75,136.33,,,,,,,,,0.141665565,,0.44,,0.37,,,,,,,2.25,EG,FW,3,TempF,full,"eastern side of the Oregon Cascade Range, USA on a private forestland (Crown Pacific Co.)",43.58,-121.68,645,7.7,"The stand is a mix of ponderosa pine trees ranging from 50 to 400 years old, and with approximately 250 trees per hectare  on soils derived from deep volcanic ash.."
Domec et al. (2012) ANN FOR Sc 69:17-27; Domec J-C et al.  (2005) Plant Cell Environ 28:1103_1115,pinus ponderosa,Pinaceae,265,817.05,1.72E-04,3.29E-01,6.70E-02,4.58E-01,,,22.7,11.4,33.4,112.67,,,,,,,,,0.138422241,,0.47,,0.34,,,,,,,2.25,EG,FW,3,TempF,full,"eastern side of the Oregon Cascade Range, USA on a private forestland (Crown Pacific Co.)",43.58,-121.68,645,7.7,"The stand is a mix of ponderosa pine trees ranging from 50 to 400 years old, and with approximately 250 trees per hectare  on soils derived from deep volcanic ash.."
Domec et al. (2012) ANN FOR Sc 69:17-27; Domec J-C et al.  (2005) Plant Cell Environ 28:1103_1116,pinus ponderosa,Pinaceae,267,811.25,1.59E-04,2.46E-01,7.61E-02,3.56E-01,,,19.57,12.13,34.2,102.43,,,,,,,,,0.145465592,,0.49,,0.31,,,,,,,2.25,EG,FW,3,TempF,full,"eastern side of the Oregon Cascade Range, USA on a private forestland (Crown Pacific Co.)",43.58,-121.68,645,7.7,"The stand is a mix of ponderosa pine trees ranging from 50 to 400 years old, and with approximately 250 trees per hectare  on soils derived from deep volcanic ash.."
