Name,Year,Journal,Title,Species,Family,Age,Total leaf area,Area of sapwood cross section,Area of heartwood cross section,Area of total stem cross section,Height to crown base,Total height of plant,Total leaf mass,Plant functional type,Growing condition,Position inforest canopy,Vegetation type,Location,Latitude,Longitude,Mean annual rainfall
,,Unit,,,,,m2,m2,m2,m2,m,m,kg,,,,,,,,mm
Name,Year,Symbol,Title,Species,Family,Age,a.lf,a.ss,a.sh,a.st,h.lf,h.t,m.lf,pft,growingCondition,status,vegetation,location,latitude,longitude,map
"Mokany, K, et al.",2003,Tree Physiology,The interaction between the sapwood and foliage of alpine ash (Eucalyptus delegatensis) trees of different heights,Eucalyptus delegatensis,Myrtaceae,46,338.6204082,0.046114,0.084877601,0.164029621,13.3,29.2,54.65145388,evergreen angiosperm,field wild,Suppressed Trees,Temp forest,"Bago and Maragle
State Forests, NSW, Australia",35d42'S,148d30'E,1400
"Mokany, K, et al.",2003,Tree Physiology,The interaction between the sapwood and foliage of alpine ash (Eucalyptus delegatensis) trees of different heights,Eucalyptus delegatensis,Myrtaceae,47,44.53737087,0.007703,0.0308456,0.050548326,15,24,7.188084389,evergreen angiosperm,field wild,Suppressed Trees,Temp forest,"Bago and Maragle
State Forests, NSW, Australia",35d42'S,148d30'E,1400
"Mokany, K, et al.",2003,Tree Physiology,The interaction between the sapwood and foliage of alpine ash (Eucalyptus delegatensis) trees of different heights,Eucalyptus delegatensis,Myrtaceae,51,41.58139696,0.010762,0.02421779,0.045843069,11.1,21.4,6.71100661,evergreen angiosperm,field wild,Suppressed Trees,Temp forest,"Bago and Maragle
State Forests, NSW, Australia",35d42'S,148d30'E,1400
"Mokany, K, et al.",2003,Tree Physiology,The interaction between the sapwood and foliage of alpine ash (Eucalyptus delegatensis) trees of different heights,Eucalyptus delegatensis,Myrtaceae,50,86.41924226,0.013093,0.046036563,0.070764187,15.8,35.1,13.9475859,evergreen angiosperm,field wild,Suppressed Trees,Temp forest,"Bago and Maragle
State Forests, NSW, Australia",35d42'S,148d30'E,1400
"Mokany, K, et al.",2003,Tree Physiology,The interaction between the sapwood and foliage of alpine ash (Eucalyptus delegatensis) trees of different heights,Eucalyptus delegatensis,Myrtaceae,50,71.94280134,0.008928,0.036193143,0.056685898,14.2,28.1,11.61116871,evergreen angiosperm,field wild,Suppressed Trees,Temp forest,"Bago and Maragle
State Forests, NSW, Australia",35d42'S,148d30'E,1400
"Mokany, K, et al.",2003,Tree Physiology,The interaction between the sapwood and foliage of alpine ash (Eucalyptus delegatensis) trees of different heights,Eucalyptus delegatensis,Myrtaceae,22,15.39830582,0.004402,0.006199709,0.014988894,8.7,14.1,2.485201068,evergreen angiosperm,field wild,Suppressed Trees,Temp forest,"Bago and Maragle
State Forests, NSW, Australia",35d42'S,148d30'E,1400
"Mokany, K, et al.",2003,Tree Physiology,The interaction between the sapwood and foliage of alpine ash (Eucalyptus delegatensis) trees of different heights,Eucalyptus delegatensis,Myrtaceae,38,29.31060977,0.007698,0.011879331,0.026954799,8.9,18,4.730569686,evergreen angiosperm,field wild,Suppressed Trees,Temp forest,"Bago and Maragle
State Forests, NSW, Australia",35d42'S,148d30'E,1400
"Mokany, K, et al.",2003,Tree Physiology,The interaction between the sapwood and foliage of alpine ash (Eucalyptus delegatensis) trees of different heights,Eucalyptus delegatensis,Myrtaceae,24,4.650371007,0.001923,0.003497897,0.008047192,6.8,10.3,0.750544062,evergreen angiosperm,field wild,Suppressed Trees,Temp forest,"Bago and Maragle
State Forests, NSW, Australia",35d42'S,148d30'E,1400
"Mokany, K, et al.",2003,Tree Physiology,The interaction between the sapwood and foliage of alpine ash (Eucalyptus delegatensis) trees of different heights,Eucalyptus delegatensis,Myrtaceae,17,7.005609031,0.002204,0.002572638,0.006925229,5.3,8.6,1.130666403,evergreen angiosperm,field wild,Suppressed Trees,Temp forest,"Bago and Maragle
State Forests, NSW, Australia",35d42'S,148d30'E,1400
